pais_nome;cases;pib_total_usd;pib_per_capita_usd;taxa_desemprego;expectativa_vida_anos;gasto_saude_pct_pib;taxa_alfabetizacao_pct;taxa_escolarizacao_pct
Italy;25603658.0;2300941152991.81;39003.3160954123;7.627;83.7;8.51808929;99.0;101.56453704834
Jamaica;154416.0;19423355409.2316;6839.72503886968;4.4;71.479;7.77706337;-;84.4617080688477
Japan;33320436.0;4204494802431.55;33766.5268253808;2.6;84.0412195121951;11.42183685;-;102.158706665039
Jordan;1747107.0;50967475352.1127;4455.50540514568;17.969;77.814;6.82820034;95.0;98.2994918823242
Kazakhstan;1559067.0;262641892078.524;12918.8661346014;4.821;74.402;3.74026752;99.8000030517578;100.522765501693
Kenya;342937.0;108038588970.595;1952.30457929636;5.567;63.646;4.32603645;82.879997253418;78.8391540273879
Kiribati;5018.0;279208903.337644;2106.76000405677;-;66.473;10.49855042;97.9597091674805;93.3518905639648
Korea, Dem. People's Rep.;-;-;-;2.831;73.642;-;99.9981918334961;93.1532287597656
Korea, Rep.;-;1712792854202.37;33121.3712885508;2.675;83.4292682926829;9.88014412;98.8000030517578;99.0333633422852
Kosovo;-;10468219225.4869;5960.15820477447;-;78.033;-;-;-
Kuwait;663860.0;163704878875.85;33729.7985494456;2.127;83.1878048780488;4.26875782;96.0;101.933448791504
Kyrgyz Republic;-;13987627908.8381;1970.15780961839;3.991;72.2487804878049;4.92258883;99.5999984741211;96.1798272207297
Lao PDR;-;15843155731.2552;2066.94979776957;1.188;68.964;2.01825476;87.5199966430664;96.7616404628016
Latvia;976255.0;42247850064.5125;22502.8429938094;6.465;75.6780487804878;7.62168407;99.8899993896484;99.41796875
Lebanon;1232828.0;20992421948.8081;3654.35845534878;11.543;77.817;5.73500204;93.0;79.7889785766602
Lesotho;34790.0;2117962450.79469;916.282979328622;16.457;57.375;12.65127754;82.0100021362305;86.3705569704352
Liberia;8216.0;4240000000.0;771.887142089677;2.933;62.163;13.47386169;48.3013610839844;67.2317884233233
Libya;-;45096462972.4014;6172.81246940233;18.753;69.339;4.65005827;-;106.919326782227
Liechtenstein;21436.0;7361504432.19331;186400.23376784;-;84.8414634146342;-;-;102.110137939453
Lithuania;1307807.0;79789877416.1681;27786.0057829276;6.841;76.9878048780488;7.29381466;99.8300018310547;101.905830383301
Luxembourg;318715.0;85755006123.5976;128678.189942826;5.184;83.3585365853659;5.78284121;-;99.484260559082
Macao SAR, China;-;45803067940.4072;67476.5290813306;2.235;83.1804878048781;-;97.1100006103516;86.4246597290039
Madagascar;67896.0;15790113246.7478;506.159368687808;3.069;63.632;3.25023246;77.4800033569336;135.788053140467
Malawi;88759.0;12712150082.0792;602.343619809252;5.033;67.353;6.50023508;68.0800018310547;135.428928266602
Malaysia;5044826.0;399705169318.477;11379.0861000632;3.869;76.657;3.90591931;96.0;98.843690256664
Maldives;185738.0;6590894301.9579;12530.3602359683;4.241;81.041;9.65276241;97.8600006103516;97.5430868579737
Mali;33062.0;20661794596.0873;869.270234286992;2.956;60.439;3.67284775;31.0;74.4169692993164
Malta;117652.0;22328640241.5553;40395.7692064458;3.11;83.5073170731707;9.52376747;94.9400024414062;93.5346603393555
Marshall Islands;15650.0;259300000.0;6678.34239060448;-;66.945;11.73604298;98.0;105.104331970215
Mauritania;63699.0;10651709411.4594;2120.82320358953;10.446;68.484;4.48389912;66.9599990844727;111.76927947998
Mauritius;296184.0;14644524819.0054;11613.0441587588;5.571;73.4121951219512;5.82381678;92.1500015258789;110.911582946777
Mexico;7484592.0;1789114434843.46;13790.0243428344;2.765;75.069;5.72145176;95.0;102.004783630371
Micronesia, Fed. Sts.;-;460000000.0;4084.16940424398;-;67.198;10.34470272;-;91.5278783490224
Moldova;611140.0;16539436547.295;6729.41286813969;1.555;71.198;6.96505404;99.5999984741211;106.97324544397
Monaco;16221.0;9995350547.12166;256580.515122745;-;86.372;3.39779735;-;144.476531982422
Mongolia;1009317.0;20325121393.9074;5838.63108083902;5.503;72.1224390243902;8.85170174;99.0;95.7762310753373
Montenegro;288808.0;7530593375.22034;12221.4775546967;14.621;77.5878048780488;10.92241859;98.9800033569336;106.109619140625
Morocco;1272490.0;144417103249.646;3771.4462890625;9.044;75.313;5.68049145;77.3499984741211;114.473091125488
Mozambique;233230.0;20954220983.5473;622.985619320596;3.519;63.611;8.77717781;60.0;120.005161518986
Myanmar;-;66757619000.0;1233.19666209269;3.032;66.889;5.20476246;89.0;118.851997375488
Namibia;172398.0;12351025066.9131;4168.28521087347;19.365;67.385;9.29635525;92.25;133.527472902537
Nauru;5247.0;154170289.321861;12982.7612060515;-;62.109;18.17031097;-;100.64102935791
Nepal;1001155.0;40908073366.8455;1377.62603571292;10.628;70.354;6.65589333;71.1500015258789;122.984062428683
Netherlands;8713629.0;1154361305398.06;64572.0059558854;3.537;81.9146341463415;10.10068321;-;104.215446472168
New Caledonia;-;9623318718.31459;33516.363085906;10.939;78.766;-;97.3000030517578;-
New Zealand;2236119.0;252175506110.168;48280.8114166238;3.729;83.0048780487805;10.02858067;-;96.5572509765625
Nicaragua;15655.0;17829218219.3591;2612.87066241288;4.716;74.947;8.95364857;82.6145477294922;105.908050537109
Niger;9512.0;16819170420.5653;642.937917863471;0.425;61.183;4.35259724;38.0999984741211;68.5260162353516
Nigeria;266628.0;363846332834.618;1596.63696129001;3.074;54.462;4.27090406;63.1555404663086;86.7234268188477
North Macedonia;-;15763621848.115;8624.29360948531;13.174;75.3160975609756;7.6204114;97.5999984741211;97.4866561889648
Northern Mariana Islands;-;1096000000.0;23785.754590043;-;78.808;-;-;-
Norway;1479506.0;485310823603.662;87925.0944188399;3.572;83.1121951219512;7.94803333;-;98.9667587280273
Oman;399449.0;108810923276.983;21549.8368728192;3.176;80.031;2.9162159;97.0;95.5613708496094
Pakistan;1577411.0;337912301397.727;1365.27743222493;5.408;67.649;2.90434051;58.0;82.6790063159857
Palau;5991.0;281849062.5;15899.4224911152;-;69.269;14.28555965;97.0;95.8932238193018
Panama;1031731.0;83318176900.0;18686.4050961265;6.544;79.594;8.46561432;96.0;94.5526123046875
Papua New Guinea;46841.0;30729242919.4411;2957.68262498549;2.661;66.134;2.61825109;70.0636825561523;109.501403808594
Paraguay;808401.0;42956263543.9482;6276.35113919957;5.794;73.844;7.73804235;95.0;92.3777923583984
Peru;4561117.0;267603248655.253;7906.58502858;4.899;77.74;6.0930872;94.0;107.489753723145
Philippines;4078127.0;437146372729.942;3804.8725797521;2.222;69.833;5.10629606;98.0;93.4089524875128
Poland;6444960.0;809200697797.088;22056.6661704127;2.743;78.5073170731707;7.00451565;99.8000030517578;100.594268798828
